Target,Model,RMSE,MAE,R2
price_capped,Mean baseline,153.919653727594,119.6169409675278,-6.631188733652316e-05
price_capped,Median baseline,162.80867444237794,112.72462406015038,-0.11891146356764293
price_capped,LinearRegression,108.11225088791791,78.42010918704179,0.5066098654337914
price_capped,Ridge,108.11038435862632,78.42371751782812,0.5066269017859346
price_capped,Lasso,108.11127828906808,78.41979043139845,0.5066187426612092
log_price_capped,Mean baseline,0.7376840040435895,0.6107576752764603,-0.00011858680951037925
log_price_capped,Median baseline,0.7384577541115881,0.6107780349140407,-0.0022177177602853426
log_price_capped,LinearRegression,0.4814239103186524,0.3785038371695249,0.5740426876991855
log_price_capped,Ridge,0.4814364945446132,0.378527287671757,0.5740204187050149
log_price_capped,Lasso,0.4837187298137583,0.38091740929640033,0.5699721591990872
