id,geo_cluster
2539,0
2595,0
6848,0
6872,0
6990,0
7064,0
7097,0
7801,0
8490,0
9357,0
10452,0
11943,0
12192,0
12940,0
14314,0
15341,0
15396,0
16338,0
16580,0
16821,0
16974,0
17037,0
18152,0
18728,0
18961,0
19174,0
19812,0
20913,0
21456,0
21644,0
21794,0
23135,0
23545,0
24285,0
25406,0
26785,0
27883,0
28907,0
29013,0
29628,0
31130,0
31555,0
31902,0
31994,0
32037,0
33009,0
36647,0
38663,0
38833,0
39282,0
39593,0
39704,0
42300,0
42729,0
43105,0
44229,0
45542,0
45910,0
45935,0
45936,0
46544,0
46911,0
49048,0
51438,0
52689,0
53469,0
53470,0
53477,0
245574,0
246351,0
248865,0
248966,0
249618,0
249704,0
249867,0
250323,0
251277,0
252865,0
253332,0
253466,0
253471,0
253475,0
253800,0
253803,0
253806,0
253811,0
253828,0
253839,0
253842,0
253846,0
254168,0
255476,0
255601,0
255957,0
257097,0
258688,0
258690,0
258740,0
258930,0
260755,0
261674,0
262405,0
262478,0
263005,0
263232,0
263888,0
265145,0
265506,0
266449,0
266753,0
267376,0
267435,0
267652,0
54466,0
54508,0
54544,0
54694,0
54860,0
55959,0
55982,0
56859,0
57166,0
57297,0
57618,0
57874,0
58059,0
59014,0
59121,0
60181,0
60457,0
60611,0
60666,0
60673,0
60680,0
60794,0
61406,0
62925,0
63588,0
63610,0
63657,0
64015,0
64314,0
64365,0
65615,0
65660,0
66008,0
66251,0
66974,0
67299,0
68253,0
68735,0
68974,0
70473,0
71384,0
72190,0
74680,0
74860,0
75635,0
75658,0
77765,0
79067,0
80684,0
80700,0
81739,0
82638,0
82928,0
83243,0
83474,0
84010,0
89427,0
92242,0
93313,0
94783,0
96471,0
98663,0
100002,0
100186,0
100368,0
101053,0
103311,0
103555,0
105469,1
106363,0
106647,0
106906,0
107630,0
112304,0
112435,0
113265,0
115535,0
115748,0
116551,0
118061,0
125163,0
128975,0
135465,0
136493,0
139624,0
140133,0
455734,0
456110,0
456190,0
456457,0
456578,0
141335,0
142069,0
144087,0
144148,0
146726,0
148201,0
148259,0
148825,0
150804,0
150989,0
151199,0
152263,0
152819,0
157673,0
158061,0
159913,0
162493,0
162508,0
166006,0
166172,0
166983,0
168123,0
169483,0
170420,0
170761,0
171562,0
173151,0
174966,0
176135,0
177495,0
177606,0
179670,0
182069,0
187986,0
188674,0
188803,0
189135,0
189181,0
189787,0
190968,0
190974,0
191610,0
195123,0
195240,0
195989,0
198744,0
199733,0
201514,0
201992,0
202273,0
203901,0
204065,0
205485,0
206316,0
206957,0
208148,0
209310,0
212544,0
213330,0
214917,2
216080,0
217580,0
218358,0
219066,0
219922,0
220563,0
222304,0
223930,0
225354,0
225976,2
227495,0
228317,0
228925,0
230877,0
231154,0
232612,0
232775,0
233638,0
235552,0
235651,0
235951,0
235960,0
236788,0
239733,0
245544,0
301372,0
302238,0
302280,0
302309,0
302705,0
302758,0
268335,0
268481,0
269283,0
269404,0
270139,0
270231,0
270345,0
271083,0
271694,0
272026,0
274743,0
275976,0
276021,0
276317,0
278876,0
279857,0
281521,0
281851,0
283550,0
286838,0
287408,0
287845,0
